Dataset,ML_Model,RMSE
TPCW,SVR - Linear,11.7960768
TPCW,SVR - Polynomial,8.670780585
TPCW,SVR - RBF,9.063481159
TPCW,RFR,4.37468491
TPCW,XGBoost,4.036067553
TPCW,Bayesian,3.035060074
APIM,SVR - Linear,349.8718833
APIM,SVR - Polynomial,329.7392174
APIM,SVR - RBF,325.6016532
APIM,RFR,175.8752946
APIM,XGBoost,52.57428015
APIM,Bayesian,47.81309779
Ballerina,SVR - Linear,1406.884884
Ballerina,SVR - Polynomial,1384.410294
Ballerina,SVR - RBF,1388.75009
Ballerina,RFR,531.3491585
Ballerina,XGBoost,176.4552495
Ballerina,Bayesian,807.5887531
Spring-Boot,SVR - Linear,251.0784357
Spring-Boot,SVR - Polynomial,174.5877189
Spring-Boot,SVR - RBF,180.413803
Spring-Boot,RFR,166.4870947
Spring-Boot,XGBoost,140.170552
Spring-Boot,Bayesian,163.6163499
