Dataset,ML_Model,MAE
TPCW,SVR - Linear,0.4158378601
TPCW,SVR - Polynomial,2.52244043
TPCW,SVR - RBF,0.5445848203
TPCW,RFR,1.242210907
TPCW,XGBoost,0.3969364089
TPCW,Bayesian,0.3350947628
APIM,SVR - Linear,839.0679719
APIM,SVR - Polynomial,1130.282021
APIM,SVR - RBF,821.0702483
APIM,RFR,192.4741739
APIM,XGBoost,148.4969014
APIM,Bayesian,167.3805952
Ballerina,SVR - Linear,2394.47169
Ballerina,SVR - Polynomial,2445.209852
Ballerina,SVR - RBF,2172.924675
Ballerina,RFR,414.2665484
Ballerina,XGBoost,321.7203972
Ballerina,Bayesian,556.026922
Spring-Boot,SVR - Linear,2603.221973
Spring-Boot,SVR - Polynomial,2679.985852
Spring-Boot,SVR - RBF,2459.185164
Spring-Boot,RFR,297.9318755
Spring-Boot,XGBoost,197.2538529
Spring-Boot,Bayesian,1850.684157
