Dataset,ML_Model,MAPE
TPCW,SVR - Linear,4.758635989
TPCW,SVR - Polynomial,24.54417325
TPCW,SVR - RBF,6.570516082
TPCW,RFR,2.964526842
TPCW,XGBoost,4.739776152
TPCW,Bayesian,3.325533846
APIM,SVR - Linear,122.6816224
APIM,SVR - Polynomial,158.1656744
APIM,SVR - RBF,97.63094603
APIM,RFR,11.7081191
APIM,XGBoost,15.99499911
APIM,Bayesian,11.27385072
Ballerina,SVR - Linear,426.299114
Ballerina,SVR - Polynomial,235.7011665
Ballerina,SVR - RBF,184.8289651
Ballerina,RFR,39.2940094
Ballerina,XGBoost,47.25832113
Ballerina,Bayesian,33.21996093
Spring-Boot,SVR - Linear,57.97134628
Spring-Boot,SVR - Polynomial,58.96106798
Spring-Boot,SVR - RBF,55.16855681
Spring-Boot,RFR,3.696975016
Spring-Boot,XGBoost,3.135513188
Spring-Boot,Bayesian,35.55359459
